merge_input_file,merge_input_role,dataset_source_family,dataset_source_file,case_id,source_paper,source_anchor,system_type,component_system,study_family,response_metric,response_value,response_unit,pipe_OD_m,pipe_WT_m,roller_spacing_m,OD_over_Sroller,R_m,T_MT,phase,peak_location,Sroller_over_R,T_over_R,response_region,t_comp_mm,wt_ratio,L_comp_D,L_comp_m,L_comp_over_Sroller,taper_ratio_n,L_taper_D,L_taper_m,L_NIB_m,L_stiff_m,L_total_m,L_stiff_over_Sroller,L_total_over_Sroller,EI_ratio,source_region,shroud_L1_D,shroud_L2_D,shroud_V_D,gdtp_inside_shroud,source_overlaps_X2,L_GDTP_over_L1_shroud,shroud_L1_m,shroud_L2_m,shroud_V_m,shroud_L1_over_Sroller,shroud_L2_over_Sroller,shroud_V_over_OD,contact_regime,supports_rules,evidence_confidence,uncertainty_note,component_type,assembly_archetype,connection_system,num_active_connectors,connector_type_sequence,P_c1_D,P_c2_D,P_gap_m,kT_ratio,kT1_ratio,kT2_ratio,header_OD_m,header_WT_m,stinger_radius_m,top_tension_MT,baseline_min_percent,baseline_max_percent,evidence_strength,notes,layout_id_source_style,d_connector_status,gap_state_encoded,region_reference,region_half_width_D,region_half_width_m,region_relation_to_connectors,case_max_strain_percent,case_max_region,case_min_strain_percent,case_min_region,increment_vs_baseline_min_percent,increment_vs_baseline_max_percent,effective_stiffness_span_basis,connector_to_connector_length_D,connector_to_connector_length_m,frame_or_base_stiffness_over_pipe,combined_frame_pipe_stiffness_over_same_pipe_length,combined_frame_pipe_stiffness_formula,split_segment_combined_stiffness_over_pipe,comparison_reference_family,comparison_reference_basis,comparison_reference_available,future_study_candidate_id,P_l1_D,P_l2_D,P_v_D,kB_ratio,kB1_ratio,kB2_ratio,mass_total_MT,mass_distribution,n_mass_points,mass_spacing_m,stinger_position,baseline_percent,increment_vs_baseline_percent,layout_id,branch_shape,branch_support_connection,structure_connection_system,branch_OD_m,branch_WT_m,P_b1_D,P_b2_D,P_bc_D,response_target,response_location
EDIKB_PAPER2_EASB_ML_DATASET_v0_2.csv,latest_override,paper2_easb_behaviour,EDIKB_PAPER2_EASB_ML_DATASET_v0_2.csv,p2_easb_psd_c1_xi2,paper2,paper2:section_viii_h,,,,peak_nominal_strain,0.830,percent,,,,,,,,,,,X_i2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-SB,ILS-EASB,PSD,4,D-P-S-D,5,5,0.025,,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,shifted strain region,paper2_section_viii_connection_system_case,has_D,gap_parameter_present,deadband_to_main_connector,,,internal_shifted_strain_region,0.840,X_e,0.055,X_i1,154.5,121.1,,5,2.032,,,,,,,,,10,2.5,2,,2.22,2.52,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1_c1_xc,paper2,paper2:section_vii_c,,,,peak_nominal_strain,0.330,percent,,,,,,,,,,,X_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1,1,F,,,,,, ,0.4064,0.021,85,100,0.33,0.38,direct_numeric,single fixed centre connector; close to baseline,paper2_section_vii_connection_system_case,no_D,no_gap_parameter,connector,2,0.8128,connector_near_window,0.330,X_c,0.330,X_c,0.0,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1_c1_xe,paper2,paper2:section_vii_c,,,,peak_nominal_strain,0.330,percent,,,,,,,,,,,X_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1,1,F,,,,,, ,0.4064,0.021,85,100,0.33,0.38,direct_numeric,single fixed centre connector; close to baseline,paper2_section_vii_connection_system_case,no_D,no_gap_parameter,outside_structure,,,outside_structure_region,0.330,X_c,0.330,X_c,0.0,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c1_xc,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.266,percent,,,,,,,,,,,X_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.050,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,deadband case; P_c2 common to both cases,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,connector,2,0.8128,connector_near_window,0.396,X_e,0.266,X_c,20.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c1_xe,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.396,percent,,,,,,,,,,,X_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.050,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,deadband redistributes strain away from connector,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,outside_structure,,,outside_structure_region,0.396,X_e,0.266,X_c,20.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c1_xi,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.388,percent,,,,,,,,,,,X_i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.050,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,deadband redistributes strain away from connector,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,main_connector_pair,,,internal_region_between_or_inside_active_connectors,0.396,X_e,0.266,X_c,20.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c2_xc,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.336,percent,,,,,,,,,,,X_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.100,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,larger gap case,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,connector,2,0.8128,connector_near_window,0.379,X_e,0.336,X_c,14.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c2_xe,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.379,percent,,,,,,,,,,,X_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.100,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,larger gap case,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,outside_structure,,,outside_structure_region,0.379,X_e,0.336,X_c,14.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f1d_c2_xi,paper2,paper2:section_vii_d,,,,peak_nominal_strain,0.352,percent,,,,,,,,,,,X_i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F1D,3,D-F-D,,7.5,0.100,2.52,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,larger gap case,paper2_section_vii_connection_system_case,has_D,gap_parameter_present,main_connector_pair,,,internal_region_between_or_inside_active_connectors,0.379,X_e,0.336,X_c,14.8,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,latest_override,paper2_east_behaviour,EDIKB_PAPER2_EAST_ML_DATASET_v0_2.csv,p2_east_f2_c1_xc,paper2,paper2:section_vii_e,,,,peak_nominal_strain,0.936,percent,,,,,,,,,,,X_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GD-ST,ILS-EAST,F2,2,F-F,10,,,2.22,,,0.4064,0.021,85,100,0.33,0.38,direct_numeric,two fixed connectors create high connector-near strain,paper2_section_vii_connection_system_case,no_D,no_gap_parameter,connector,2,0.8128,connector_near_window,0.936,X_c,0.043,X_i,183.6,146.3,connector_to_connector_distance_P_c1,10,4.064,2.22,3.22,1 + kT_ratio,,GD-TT,similar effective stiffened length; GD-TT has L_stiff/L_total but no directly equivalent combined frame+pipe ratio in current dataset,partial_length_only_no_direct_combined_stiffness_ratio,edikb:p2_east_f2_vs_gdtt_stiffness_length_candidate_01,,,,,,,,,,,,,,,,,,,,,,,,
